FID,sa4_code21,sa4_name21,sa4,week,resp_n_1920,resp_rate_1920,resp_n_1419,resp_rate_1419,asth_n_1920,asth_rate_1920,asth_n_1419,asth_rate_1419,copd_n_1920,copd_rate_1920,copd_n_1419,copd_rate_1419,bre_n_1920,bre_rate_1920,bre_n_1419,bre_rate_1419,hea_n_1920,hea_rate_1920,hea_n_1419,hea_rate_1419,heaa_n_1920,heaa_rate_1920,heaa_n_1419,heaa_rate_1419,cere_n_1920,cere_rate_1920,cere_n_1419,cere_rate_1419,ches_n_1920,ches_rate_1920,ches_n_1419,ches_rate_1419,men_n_1920,men_rate_1920,men_n_1419,men_rate_1419,burn_n_1920,burn_rate_1920,burn_n_1419,burn_rate_1419,deh_n_1920,deh_rate_1920,deh_n_1419,deh_rate_1419
s4_geo.fid--2c346315_187d5bf56ff_5bd6,123,Sydney - Outer South West,123,2020-01-19T00:00:00,109,38.50392914,105,36.29676056,14,4.94545889,9,NaN,6,NaN,NaN,NaN,37,13.07014084,37,12.79028797,40,14.12988186,36,12.44460392,9,NaN,5,NaN,7,NaN,14,4.83956814,97,34.26496506,102,35.25971222,60,21.19482231,74,25.58057594,13,4.59221172,8,NaN,6,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bd7,123,Sydney - Outer South West,123,2020-01-26T00:00:00,128,45.21562195,146,50.46978378,9,NaN,12,4.14820147,NaN,NaN,5,NaN,44,15.54286957,42,14.51870537,27,9.53767014,36,12.44460392,NaN,NaN,5,NaN,9,NaN,13,4.49388504,99,34.97145844,116,40.09928131,58,20.48832893,53,18.32122231,13,4.59221172,5,NaN,5,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bd8,123,Sydney - Outer South West,123,2020-02-02T00:00:00,126,44.50912857,131,45.28453064,14,4.94545889,17,5.87661886,NaN,NaN,5,NaN,49,17.30910492,35,12.09892082,28,9.89091682,32,11.06186962,NaN,NaN,7,NaN,8,NaN,NaN,NaN,93,32.85197449,110,38.02518082,62,21.9013176,53,18.32122231,10,3.53247046,10,3.45683455,5,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bd9,123,Sydney - Outer South West,123,2020-02-09T00:00:00,147,51.92731476,130,44.9388504,33,11.65715313,15,5.18525171,5,NaN,NaN,NaN,50,17.66235161,43,14.86438847,39,13.77663517,40,13.82733822,7,NaN,6,NaN,11,3.88571739,7,NaN,121,42.74289322,106,36.64244461,60,21.19482231,76,26.27194214,11,3.88571739,8,NaN,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bda,123,Sydney - Outer South West,123,2020-02-16T00:00:00,149,52.63380814,160,55.30935287,32,11.30390453,32,11.06186962,5,NaN,6,NaN,45,15.89611721,39,13.48165512,38,13.42338753,28,9.67913628,NaN,NaN,NaN,NaN,11,3.88571739,20,6.91366911,108,38.15068054,116,40.09928131,63,22.25456429,75,25.92625809,13,4.59221172,5,NaN,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bdb,123,Sydney - Outer South West,123,2020-02-23T00:00:00,149,52.63380814,133,45.97589874,29,10.24416447,18,6.22230196,NaN,NaN,NaN,NaN,46,16.24936485,36,12.44460392,41,14.48312855,36,12.44460392,10,3.53247046,NaN,NaN,5,NaN,12,4.14820147,118,41.68315125,108,37.33381271,68,24.02079964,74,25.58057594,11,3.88571739,5,NaN,6,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bdc,124,Sydney - Outer West and Blue Mountains,124,2019-09-01T00:00:00,200,61.83718491,210,64.1305542,31,9.58476353,23,7.02382278,NaN,NaN,5,NaN,40,12.36743736,39,11.90996075,62,19.16952705,53,16.18533134,12,3.71023107,9,NaN,12,3.71023107,5,NaN,105,32.4645195,101,30.84374428,55,17.00522423,54,16.49071503,12,3.71023107,12,3.66460323,9,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bdd,124,Sydney - Outer West and Blue Mountains,124,2019-09-08T00:00:00,200,61.83718491,193,58.93903732,21,6.49290419,18,5.49690485,6,NaN,NaN,NaN,30,9.27557755,39,11.90996075,47,14.53173828,50,15.2691803,12,3.71023107,9,NaN,8,NaN,11,3.35921979,121,37.41149521,127,38.78371811,57,17.62359619,53,16.18533134,11,3.40104508,8,NaN,5,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bde,124,Sydney - Outer West and Blue Mountains,124,2019-09-15T00:00:00,171,52.87079239,182,55.57981873,15,4.63778877,13,3.96998692,6,NaN,NaN,NaN,29,8.96639156,30,9.16150856,48,14.84092426,73,22.29300308,14,4.32860279,12,3.66460323,13,4.01941681,8,NaN,101,31.22777748,137,41.83755493,46,14.2225523,52,15.87994766,10,3.0918591,11,3.35921979,8,NaN,6,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bdf,124,Sydney - Outer West and Blue Mountains,124,2019-09-22T00:00:00,175,54.10753632,172,52.5259819,20,6.1837182,18,5.49690485,6,NaN,NaN,NaN,27,8.3480196,32,9.77227497,55,17.00522423,62,18.93378448,11,3.40104508,13,3.96998692,6,NaN,14,4.2753706,113,34.93800735,107,32.67604446,44,13.60418034,53,16.18533134,19,5.87453222,14,4.2753706,5,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5be0,124,Sydney - Outer West and Blue Mountains,124,2019-09-29T00:00:00,194,59.98206711,167,50.99906158,17,5.25616074,15,4.58075428,NaN,NaN,7,NaN,33,10.20313454,29,8.85612488,55,17.00522423,50,15.2691803,9,NaN,8,NaN,9,NaN,10,3.05383611,135,41.74009705,108,32.98143005,59,18.24196815,46,14.04764557,9,NaN,8,NaN,8,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5be1,124,Sydney - Outer West and Blue Mountains,124,2019-10-06T00:00:00,146,45.1411438,184,56.19058228,15,4.63778877,9,NaN,NaN,NaN,NaN,NaN,32,9.89394951,30,9.16150856,50,15.45929623,48,14.65841293,8,NaN,10,3.05383611,8,NaN,12,3.66460323,112,34.62882233,110,33.59219742,46,14.2225523,45,13.74226189,12,3.71023107,9,NaN,NaN,NaN,11,3.35921979
s4_geo.fid--2c346315_187d5bf56ff_5be2,124,Sydney - Outer West and Blue Mountains,124,2019-10-13T00:00:00,148,45.75951385,155,47.3344574,15,4.63778877,18,5.49690485,NaN,NaN,5,NaN,25,7.72964764,33,10.07765865,55,17.00522423,73,22.29300308,9,NaN,15,4.58075428,8,NaN,14,4.2753706,99,30.60940552,119,36.34064865,41,12.67662239,71,21.68223572,6,NaN,6,NaN,6,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5be3,124,Sydney - Outer West and Blue Mountains,124,2019-10-20T00:00:00,141,43.59521484,152,46.41830826,15,4.63778877,12,3.66460323,NaN,NaN,5,NaN,27,8.3480196,26,7.93997383,50,15.45929623,44,13.43687916,NaN,NaN,7,NaN,16,4.94697475,13,3.96998692,113,34.93800735,146,44.58600616,65,20.09708405,41,12.52072811,11,3.40104508,7,NaN,NaN,NaN,6,NaN
s4_geo.fid--2c346315_187d5bf56ff_5be4,124,Sydney - Outer West and Blue Mountains,124,2019-10-27T00:00:00,134,41.43091202,153,46.72369385,21,6.49290419,21,6.4130559,NaN,NaN,6,NaN,32,9.89394951,29,8.85612488,56,17.31441116,38,11.60457706,9,NaN,NaN,NaN,14,4.32860279,12,3.66460323,118,36.48393631,117,35.72988129,60,18.55115509,53,16.18533134,9,NaN,11,3.35921979,8,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5be5,124,Sydney - Outer West and Blue Mountains,124,2019-11-03T00:00:00,141,43.59521484,151,46.11292648,21,6.49290419,19,5.80228853,NaN,NaN,10,3.05383611,23,7.11127615,28,8.5507412,52,16.07766724,53,16.18533134,7,NaN,NaN,NaN,17,5.25616074,18,5.49690485,132,40.81254196,95,29.01144218,59,18.24196815,57,17.40686607,10,3.0918591,14,4.2753706,8,NaN,12,3.66460323
s4_geo.fid--2c346315_187d5bf56ff_5be6,124,Sydney - Outer West and Blue Mountains,124,2019-11-10T00:00:00,107,33.08289337,166,50.69367981,21,6.49290419,15,4.58075428,5,NaN,6,NaN,27,8.3480196,23,7.02382278,52,16.07766724,51,15.57456398,7,NaN,9,NaN,10,3.0918591,11,3.35921979,124,38.33905411,120,36.64603424,47,14.53173828,55,16.79609871,10,3.0918591,12,3.66460323,7,NaN,6,NaN
s4_geo.fid--2c346315_187d5bf56ff_5be7,124,Sydney - Outer West and Blue Mountains,124,2019-11-17T00:00:00,136,42.04928589,142,43.36447144,14,4.32860279,27,8.24535751,NaN,NaN,7,NaN,19,5.87453222,41,12.52072811,46,14.2225523,52,15.87994766,5,NaN,9,NaN,5,NaN,12,3.66460323,117,36.17475128,111,33.89757919,57,17.62359619,48,14.65841293,11,3.40104508,11,3.35921979,NaN,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5be8,124,Sydney - Outer West and Blue Mountains,124,2019-11-24T00:00:00,133,41.12172699,144,43.9752388,22,6.80209017,19,5.80228853,9,NaN,5,NaN,30,9.27557755,36,10.9938097,57,17.62359619,51,15.57456398,8,NaN,14,4.2753706,11,3.40104508,14,4.2753706,113,34.93800735,117,35.72988129,51,15.76848221,61,18.6284008,8,NaN,NaN,NaN,5,NaN,7,NaN
s4_geo.fid--2c346315_187d5bf56ff_5be9,124,Sydney - Outer West and Blue Mountains,124,2019-12-01T00:00:00,133,41.12172699,168,51.30444717,11,3.40104508,30,9.16150856,NaN,NaN,10,3.05383611,20,6.1837182,27,8.24535751,47,14.53173828,53,16.18533134,6,NaN,10,3.05383611,13,4.01941681,8,NaN,120,37.10231018,107,32.67604446,66,20.40626907,73,22.29300308,9,NaN,6,NaN,6,NaN,6,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bea,124,Sydney - Outer West and Blue Mountains,124,2019-12-08T00:00:00,135,41.74009705,154,47.02907562,22,6.80209017,18,5.49690485,5,NaN,9,NaN,29,8.96639156,31,9.46689224,51,15.76848221,62,18.93378448,7,NaN,18,5.49690485,11,3.40104508,14,4.2753706,118,36.48393631,129,39.39448547,58,17.93278313,57,17.40686607,10,3.0918591,13,3.96998692,NaN,NaN,7,NaN
s4_geo.fid--2c346315_187d5bf56ff_5beb,124,Sydney - Outer West and Blue Mountains,124,2019-12-15T00:00:00,124,38.33905411,160,48.86137772,15,4.63778877,27,8.24535751,5,NaN,7,NaN,30,9.27557755,31,9.46689224,62,19.16952705,53,16.18533134,10,3.0918591,12,3.66460323,9,NaN,6,NaN,109,33.70126343,104,31.75989532,60,18.55115509,62,18.93378448,11,3.40104508,5,NaN,5,NaN,7,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bec,124,Sydney - Outer West and Blue Mountains,124,2019-12-22T00:00:00,125,38.64823914,166,50.69367981,17,5.25616074,23,7.02382278,NaN,NaN,7,NaN,32,9.89394951,26,7.93997383,43,13.29499435,38,11.60457706,8,NaN,8,NaN,6,NaN,8,NaN,88,27.20836067,87,26.56837463,56,17.31441116,47,14.3530302,11,3.40104508,21,6.4130559,7,NaN,9,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bed,124,Sydney - Outer West and Blue Mountains,124,2019-12-29T00:00:00,148,45.75951385,191,58.32826996,17,5.25616074,28,8.5507412,5,NaN,NaN,NaN,21,6.49290419,32,9.77227497,70,21.64301491,48,14.65841293,17,5.25616074,14,4.2753706,7,NaN,13,3.96998692,109,33.70126343,98,29.92759323,73,22.5705719,65,19.84993362,17,5.25616074,9,NaN,8,NaN,9,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bee,124,Sydney - Outer West and Blue Mountains,124,2020-01-05T00:00:00,131,40.50335312,139,42.4483223,20,6.1837182,16,4.88613749,NaN,NaN,5,NaN,43,13.29499435,35,10.68842602,71,21.95219994,43,13.13149548,12,3.71023107,6,NaN,13,4.01941681,9,NaN,118,36.48393631,126,38.47833633,52,16.07766724,63,19.23916626,11,3.40104508,11,3.35921979,5,NaN,7,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bef,124,Sydney - Outer West and Blue Mountains,124,2020-01-12T00:00:00,116,35.86556625,128,39.0891037,19,5.87453222,12,3.66460323,NaN,NaN,6,NaN,28,8.65720558,31,9.46689224,66,20.40626907,55,16.79609871,12,3.71023107,11,3.35921979,6,NaN,12,3.66460323,121,37.41149521,98,29.92759323,67,20.71545601,50,15.2691803,10,3.0918591,5,NaN,13,4.01941681,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bf0,124,Sydney - Outer West and Blue Mountains,124,2020-01-19T00:00:00,131,40.50335312,128,39.0891037,14,4.32860279,16,4.88613749,NaN,NaN,6,NaN,29,8.96639156,24,7.32920647,47,14.53173828,57,17.40686607,7,NaN,12,3.66460323,12,3.71023107,17,5.19152117,113,34.93800735,115,35.11911392,51,15.76848221,53,16.18533134,10,3.0918591,16,4.88613749,13,4.01941681,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bf1,124,Sydney - Outer West and Blue Mountains,124,2020-01-26T00:00:00,120,37.10231018,159,48.55599213,18,5.56534624,17,5.19152117,NaN,NaN,8,NaN,26,8.03883362,20,6.10767221,57,17.62359619,53,16.18533134,12,3.71023107,10,3.05383611,12,3.71023107,10,3.05383611,93,28.75428963,112,34.20296478,46,14.2225523,64,19.54455185,8,NaN,14,4.2753706,6,NaN,8,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bf2,124,Sydney - Outer West and Blue Mountains,124,2020-02-02T00:00:00,116,35.86556625,136,41.53216934,24,7.42046213,12,3.66460323,NaN,NaN,8,NaN,38,11.7490654,27,8.24535751,51,15.76848221,42,12.82611179,7,NaN,6,NaN,8,NaN,11,3.35921979,107,33.08289337,115,35.11911392,61,18.86034012,57,17.40686607,8,NaN,7,NaN,16,4.94697475,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bf3,124,Sydney - Outer West and Blue Mountains,124,2020-02-09T00:00:00,160,49.46974564,163,49.77752686,28,8.65720558,31,9.46689224,NaN,NaN,NaN,NaN,39,12.05825138,29,8.85612488,56,17.31441116,52,15.87994766,8,NaN,11,3.35921979,14,4.32860279,15,4.58075428,101,31.22777748,104,31.75989532,64,19.78789711,46,14.04764557,12,3.71023107,9,NaN,9,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bf4,124,Sydney - Outer West and Blue Mountains,124,2020-02-16T00:00:00,182,56.27183533,153,46.72369385,32,9.89394951,21,6.4130559,6,NaN,NaN,NaN,38,11.7490654,42,12.82611179,55,17.00522423,57,17.40686607,8,NaN,15,4.58075428,9,NaN,6,NaN,135,41.74009705,114,34.81373215,75,23.18894386,50,15.2691803,16,4.94697475,12,3.66460323,9,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bf5,124,Sydney - Outer West and Blue Mountains,124,2020-02-23T00:00:00,162,50.08811951,165,50.38829422,29,8.96639156,19,5.80228853,5,NaN,7,NaN,42,12.98580837,37,11.29919338,50,15.45929623,51,15.57456398,6,NaN,14,4.2753706,13,4.01941681,NaN,NaN,135,41.74009705,127,38.78371811,70,21.64301491,54,16.49071503,8,NaN,9,NaN,10,3.0918591,7,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bf6,125,Sydney - Parramatta,125,2019-09-01T00:00:00,213,43.21740341,243,48.28086472,15,3.0434792,33,6.55666065,9,NaN,9,NaN,53,10.75362587,58,11.52382755,66,13.39130783,59,11.72251415,5,NaN,8,NaN,10,2.02898622,10,1.98686683,105,21.30435371,120,23.8424015,62,12.57971382,53,10.5303936,12,2.43478322,5,NaN,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bf7,125,Sydney - Parramatta,125,2019-09-08T00:00:00,221,44.84059143,199,39.53865051,29,5.88405991,18,3.57636023,5,NaN,NaN,NaN,53,10.75362587,58,11.52382755,63,12.78261185,59,11.72251415,12,2.43478322,6,NaN,11,2.23188472,9,NaN,136,27.59421158,107,21.25947571,64,12.98551083,58,11.52382755,13,2.63768196,22,4.3711071,NaN,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bf8,125,Sydney - Parramatta,125,2019-09-15T00:00:00,214,43.42030334,228,45.30056381,21,4.26087093,17,3.37767363,8,NaN,9,NaN,42,8.52174187,45,8.9409008,81,16.43478775,58,11.52382755,5,NaN,8,NaN,19,3.85507369,13,2.58292699,116,23.53623962,132,26.22664261,65,13.18840981,65,12.91463375,10,2.02898622,10,1.98686683,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bf9,125,Sydney - Parramatta,125,2019-09-22T00:00:00,222,45.04349136,195,38.74390411,28,5.68116093,26,5.1658535,6,NaN,7,NaN,59,11.97101784,48,9.5369606,63,12.78261185,58,11.52382755,8,NaN,9,NaN,16,3.24637771,8,NaN,134,27.18841362,116,23.04765511,79,16.02898979,63,12.51726055,16,3.24637771,10,1.98686683,6,NaN,7,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bfa,125,Sydney - Parramatta,125,2019-09-29T00:00:00,205,41.59421539,234,46.49268341,18,3.65217495,22,4.3711071,10,2.02898622,5,NaN,48,9.73913288,41,8.14615345,61,12.37681484,69,13.7093811,5,NaN,10,1.98686683,17,3.44927645,14,2.78161359,124,25.15942764,126,25.0345211,65,13.18840981,67,13.3120079,16,3.24637771,10,1.98686683,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bfb,125,Sydney - Parramatta,125,2019-10-06T00:00:00,160,32.46377945,224,44.50581741,5,NaN,25,4.9671669,10,2.02898622,8,NaN,43,8.72463989,47,9.338274,69,14.00000381,60,11.92120075,10,2.02898622,15,2.98030019,11,2.23188472,14,2.78161359,142,28.81160355,142,28.21350861,68,13.79710484,66,13.1133213,8,NaN,17,3.37767363,NaN,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bfc,125,Sydney - Parramatta,125,2019-10-13T00:00:00,179,36.31885147,188,37.35309601,17,3.44927645,21,4.1724205,7,NaN,NaN,NaN,46,9.33333588,51,10.13302135,62,12.57971382,62,12.31857395,12,2.43478322,10,1.98686683,8,NaN,17,3.37767363,131,26.57971764,111,22.05422211,71,14.40580082,71,14.1067543,16,3.24637771,12,2.38424015,5,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bfd,125,Sydney - Parramatta,125,2019-10-20T00:00:00,170,34.49276352,178,35.36623001,15,3.0434792,23,4.5697937,7,NaN,NaN,NaN,47,9.53623486,58,11.52382755,69,14.00000381,50,9.9343338,8,NaN,10,1.98686683,10,2.02898622,11,2.18555355,112,22.72464371,119,23.6437149,77,15.62319279,70,13.9080677,16,3.24637771,11,2.18555355,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bfe,125,Sydney - Parramatta,125,2019-10-27T00:00:00,199,40.37682343,175,34.7701683,29,5.88405991,26,5.1658535,8,NaN,5,NaN,43,8.72463989,38,7.55009413,44,8.92753887,61,12.11988831,6,NaN,9,NaN,13,2.63768196,11,2.18555355,121,24.55073166,112,22.25290871,69,14.00000381,84,16.6896801,13,2.63768196,16,3.17898679,5,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5bff,125,Sydney - Parramatta,125,2019-11-03T00:00:00,192,38.95653152,183,36.3596611,16,3.24637771,23,4.5697937,11,2.23188472,5,NaN,49,9.94203186,37,7.35140705,50,10.14492989,60,11.92120075,9,NaN,8,NaN,11,2.23188472,8,NaN,131,26.57971764,116,23.04765511,70,14.20290279,80,15.8949337,15,3.0434792,13,2.58292699,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c00,125,Sydney - Parramatta,125,2019-11-10T00:00:00,178,36.11595154,182,36.16097641,14,2.84058046,33,6.55666065,NaN,NaN,7,NaN,48,9.73913288,51,10.13302135,52,10.55072784,67,13.3120079,NaN,NaN,13,2.58292699,18,3.65217495,14,2.78161359,124,25.15942764,119,23.6437149,65,13.18840981,69,13.7093811,8,NaN,7,NaN,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c01,125,Sydney - Parramatta,125,2019-11-17T00:00:00,176,35.71015549,169,33.57804871,34,6.89855289,30,5.96060038,8,NaN,NaN,NaN,52,10.55072784,46,9.1395874,59,11.97101784,50,9.9343338,6,NaN,10,1.98686683,15,3.0434792,5,NaN,141,28.60870361,105,20.86210251,57,11.56522083,77,15.2988739,7,NaN,12,2.38424015,6,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c02,125,Sydney - Parramatta,125,2019-11-24T00:00:00,172,34.89855957,190,37.75046921,25,5.07246542,23,4.5697937,5,NaN,7,NaN,48,9.73913288,44,8.7422142,58,11.76811886,60,11.92120075,13,2.63768196,13,2.58292699,14,2.84058046,12,2.38424015,133,26.98551559,122,24.2397747,59,11.97101784,73,14.50412846,12,2.43478322,13,2.58292699,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c03,125,Sydney - Parramatta,125,2019-12-01T00:00:00,169,34.28986359,204,40.5320816,23,4.66666794,31,6.15928698,NaN,NaN,5,NaN,47,9.53623486,34,6.75534725,60,12.17391682,62,12.31857395,13,2.63768196,13,2.58292699,16,3.24637771,13,2.58292699,108,21.9130497,109,21.65684891,65,13.18840981,66,13.1133213,10,2.02898622,14,2.78161359,5,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c04,125,Sydney - Parramatta,125,2019-12-08T00:00:00,150,30.43479156,213,42.32026291,11,2.23188472,30,5.96060038,6,NaN,NaN,NaN,49,9.94203186,45,8.9409008,63,12.78261185,55,10.9277668,8,NaN,5,NaN,11,2.23188472,9,NaN,123,24.95652962,111,22.05422211,62,12.57971382,96,19.0739212,18,3.65217495,11,2.18555355,NaN,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c05,125,Sydney - Parramatta,125,2019-12-15T00:00:00,159,32.26087952,172,34.17411041,25,5.07246542,21,4.1724205,NaN,NaN,5,NaN,48,9.73913288,46,9.1395874,51,10.34782887,48,9.5369606,5,NaN,13,2.58292699,NaN,NaN,5,NaN,133,26.98551559,119,23.6437149,70,14.20290279,76,15.10018826,14,2.84058046,20,3.97373366,NaN,NaN,7,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c06,125,Sydney - Parramatta,125,2019-12-22T00:00:00,179,36.31885147,210,41.7242012,18,3.65217495,28,5.56322718,6,NaN,NaN,NaN,61,12.37681484,45,8.9409008,53,10.75362587,44,8.7422142,8,NaN,10,1.98686683,12,2.43478322,17,3.37767363,113,22.92754364,120,23.8424015,66,13.39130783,63,12.51726055,25,5.07246542,10,1.98686683,6,NaN,7,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c07,125,Sydney - Parramatta,125,2019-12-29T00:00:00,176,35.71015549,180,35.76360321,16,3.24637771,20,3.97373366,5,NaN,NaN,NaN,39,7.91304588,36,7.15272045,60,12.17391682,53,10.5303936,10,2.02898622,5,NaN,13,2.63768196,6,NaN,123,24.95652962,112,22.25290871,87,17.65217972,65,12.91463375,30,6.08695841,25,4.9671669,8,NaN,8,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c08,125,Sydney - Parramatta,125,2020-01-05T00:00:00,125,25.36232567,189,37.55178452,18,3.65217495,24,4.7684803,NaN,NaN,8,NaN,57,11.56522083,31,6.15928698,58,11.76811886,61,12.11988831,6,NaN,16,3.17898679,13,2.63768196,10,1.98686683,130,26.37681961,131,26.0279541,73,14.81159782,69,13.7093811,10,2.02898622,13,2.58292699,10,2.02898622,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c09,125,Sydney - Parramatta,125,2020-01-12T00:00:00,139,28.20290756,135,26.82270241,9,NaN,16,3.17898679,5,NaN,7,NaN,43,8.72463989,46,9.1395874,58,11.76811886,56,11.12645435,7,NaN,9,NaN,10,2.02898622,11,2.18555355,129,26.17392159,129,25.63058281,65,13.18840981,61,12.11988831,20,4.05797243,16,3.17898679,9,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c0a,125,Sydney - Parramatta,125,2020-01-19T00:00:00,160,32.46377945,159,31.59118271,26,5.27536392,18,3.57636023,6,NaN,8,NaN,61,12.37681484,56,11.12645435,32,6.49275541,57,11.32514095,8,NaN,12,2.38424015,12,2.43478322,18,3.57636023,128,25.97102165,138,27.41876221,72,14.6086998,64,12.7159481,13,2.63768196,13,2.58292699,6,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c0b,125,Sydney - Parramatta,125,2020-01-26T00:00:00,163,33.07247162,205,40.73077011,14,2.84058046,20,3.97373366,7,NaN,6,NaN,53,10.75362587,52,10.331707,57,11.56522083,58,11.52382755,7,NaN,16,3.17898679,15,3.0434792,15,2.98030019,111,22.52174568,116,23.04765511,65,13.18840981,58,11.52382755,17,3.44927645,11,2.18555355,NaN,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c0c,125,Sydney - Parramatta,125,2020-02-02T00:00:00,160,32.46377945,196,38.94258881,19,3.85507369,29,5.76191378,NaN,NaN,NaN,NaN,70,14.20290279,42,8.344841,52,10.55072784,51,10.13302135,8,NaN,10,1.98686683,13,2.63768196,12,2.38424015,133,26.98551559,120,23.8424015,73,14.81159782,45,8.9409008,14,2.84058046,16,3.17898679,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c0d,125,Sydney - Parramatta,125,2020-02-09T00:00:00,201,40.78261948,208,41.32683182,37,7.5072484,26,5.1658535,7,NaN,6,NaN,80,16.23188972,58,11.52382755,56,11.36232185,62,12.31857395,8,NaN,7,NaN,16,3.24637771,11,2.18555355,119,24.14493561,144,28.61088181,66,13.39130783,68,13.51069355,7,NaN,13,2.58292699,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c0e,125,Sydney - Parramatta,125,2020-02-16T00:00:00,190,38.55073547,228,45.30056381,34,6.89855289,29,5.76191378,NaN,NaN,11,2.18555355,74,15.0144968,75,14.9015007,47,9.53623486,60,11.92120075,7,NaN,9,NaN,11,2.23188472,15,2.98030019,114,23.13044167,124,24.6371479,67,13.59420681,68,13.51069355,18,3.65217495,10,1.98686683,NaN,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c0f,125,Sydney - Parramatta,125,2020-02-23T00:00:00,181,36.72464752,223,44.30712891,20,4.05797243,25,4.9671669,NaN,NaN,NaN,NaN,67,13.59420681,72,14.3054409,55,11.15942383,56,11.12645435,9,NaN,9,NaN,12,2.43478322,12,2.38424015,126,25.5652256,112,22.25290871,59,11.97101784,74,14.7028141,10,2.02898622,12,2.38424015,6,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c10,126,Sydney - Ryde,126,2019-09-01T00:00:00,73,36.63555145,89,43.43391418,6,NaN,14,6.83230114,NaN,NaN,NaN,NaN,12,6.0222826,14,6.83230114,18,9.03342342,17,8.29636574,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,43,21.57984543,36,17.56877327,25,12.546422,21,10.24845219,5,NaN,5,NaN,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_5c11,126,Sydney - Ryde,126,2019-09-08T00:00:00,91,45.66897583,67,32.6974411,7,NaN,8,NaN,NaN,NaN,NaN,NaN,13,6.5241394,12,5.85625792,21,10.53899384,16,7.80834436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,24.59098625,33,16.10470963,23,11.5427084,27,13.17658138,7,NaN,NaN,NaN,NaN,NaN,5,NaN
