"id","date","vaccine","sentiment"
"1478592260530786306","20220105","none","neutral"
"1478593223626924038","20220105","none","neutral"
"1478595844450308096","20220105","none","neutral"
"1478602146740273152","20220105","none","neutral"
"1478602702770761729","20220105","none","neutral"
"1478605522441883650","20220105","none","neutral"
"1478613243501236226","20220105","none","neutral"
"1478614719460044802","20220105","none","neutral"
"1478615247309078531","20220105","none","neutral"
"1478621603541884932","20220105","none","neutral"
"1478625035749232644","20220105","none","neutral"
"1478633040536498179","20220105","none","neutral"
"1478635895485976576","20220105","none","neutral"
"1478642105199181827","20220105","none","neutral"
"1478650902919581696","20220105","none","neutral"
"1478657781838192640","20220105","none","neutral"
"1478675206965116928","20220105","none","neutral"
"1478676585863471105","20220105","moderna","neutral"
"1478657026632794113","20220105","",""
"1478692939878453248","20220105","none","neutral"
"1478693507443294215","20220105","none","negative"
"1478696452129837059","20220105","moderna","positive"
"1478684963146911744","20220105","",""
"1478706099947651078","20220105","novavax","negative"
"1478725436834140161","20220105","none","neutral"
"1478819197719359491","20220105","none","negative"
"1478709145318879233","20220105","",""
"1478729618064494593","20220105","",""
"1478826765250297860","20220105","none","neutral"
"1478828637088464897","20220105","none","negative"
"1478829456504471552","20220105","none","neutral"
"1478830160476622849","20220105","none","neutral"
"1478834977034833920","20220105","none","neutral"
"1478836435637522432","20220105","none","negative"
"1478838493992218625","20220105","none","neutral"
"1478840255893569536","20220105","none","negative"
"1478841619080114183","20220105","none","neutral"
"1478837328273498113","20220105","",""
"1478848008363991049","20220105","none","neutral"
"1478848813334892550","20220105","none","neutral"
"1478848832897097729","20220105","none","neutral"
"1478849331675336704","20220105","none","neutral"
"1478851648608825344","20220105","none","neutral"
"1478852534290694145","20220105","none","negative"
"1478852861643526144","20220105","",""
"1478855498040426498","20220105","",""
"1478855721022210048","20220105","",""
"1478856150388854785","20220105","none","negative"
"1478856650245107713","20220105","none","negative"
"1478857055158996993","20220105","none","neutral"
"1478857219017900033","20220105","none","negative"
"1478858018452164609","20220105","none","neutral"
"1478858616371236865","20220105","none","neutral"
"1478870087285182466","20220105","none","negative"
"1478871064365060098","20220105","none","neutral"
"1478873413527556097","20220105","none","negative"
"1478861305146589185","20220105","",""
"1478876141062537218","20220105","none","negative"
"1478879496405012480","20220106","novavax","negative"
"1478881028001333252","20220106","none","negative"
"1478876939058180101","20220105","",""
"1478886401584156678","20220106","pfizer","positive"
"1478882171276333059","20220106","",""
"1478886284349227011","20220106","moderna","positive"
"1478886864035610626","20220106","none","negative"
"1478888176122884097","20220106","none","neutral"
"1478888530629865474","20220106","novavax","negative"
"1478888674024509443","20220106","none","neutral"
"1478891302196449281","20220106","novavax","negative"
"1478891972412645378","20220106","novavax","neutral"
"1478889732201492484","20220106","",""
"1478891439966744578","20220106","",""
"1478892545740468224","20220106","none","neutral"
"1478892962520047616","20220106","none","neutral"
"1478896094813855745","20220106","none","neutral"
"1478896281187536900","20220106","none","neutral"
"1478898795362406400","20220106","none","neutral"
"1478896547202940932","20220106","",""
"1478900106875129859","20220106","none","negative"
"1478897841556779010","20220106","",""
"1478904142940626946","20220106","none","neutral"
"1478905079868497920","20220106","novavax","negative"
"1478906530296598530","20220106","none","neutral"
"1478909046870577153","20220106","none","neutral"
"1478909402233008132","20220106","none","neutral"
"1478910206360702976","20220106","none","negative"
"1478908057631428611","20220106","",""
"1478912057726615552","20220106","none","negative"
"1478918211521318920","20220106","none","neutral"
"1478920024421109764","20220106","none","neutral"
"1478920198291791874","20220106","none","neutral"
"1478921457929314311","20220106","none","neutral"
"1478912958617030656","20220106","",""
"1478924188597424129","20220106","none","neutral"
"1478924287335702532","20220106","none","negative"
"1478923756361826304","20220106","none","neutral"
"1478924487143821312","20220106","none","negative"
"1478924906314174464","20220106","none","neutral"
"1478930756697133056","20220106","pfizer","negative"
"1478932745141178372","20220106","none","neutral"
"1478933460701958144","20220106","none","neutral"
"1478936426322399233","20220106","none","neutral"
"1478936638206070784","20220106","none","neutral"
"1478938513890447363","20220106","none","neutral"
"1478938607154962434","20220106","none","negative"
"1478938645729996803","20220106","none","negative"
"1478937075793608705","20220106","",""
"1478939384305049606","20220106","none","negative"
"1478938897337892868","20220106","",""
"1478940365235183617","20220106","",""
"1478942447220584449","20220106","",""
"1478943087787315202","20220106","none","negative"
"1478943358726770688","20220106","none","neutral"
"1478942944459563009","20220106","",""
"1478944115488296960","20220106","none","neutral"
"1478944767358636032","20220106","none","neutral"
"1478944924854747136","20220106","none","negative"
"1478945614456975361","20220106","none","negative"
"1478946364826345472","20220106","none","neutral"
"1478946375526014978","20220106","none","neutral"
"1478946643399491584","20220106","none","neutral"
"1478948163079663619","20220106","novavax","negative"
"1478948311893569542","20220106","novavax","positive"
"1478950876358213633","20220106","none","neutral"
"1478950998513119235","20220106","none","neutral"
"1478953738945523717","20220106","none","negative"
"1478953769140252674","20220106","none","neutral"
"1478953572062560256","20220106","",""
"1478954411703484419","20220106","none","neutral"
"1478954571519176715","20220106","none","neutral"
"1478955430491697153","20220106","none","negative"
"1478955726106103810","20220106","none","neutral"
"1478956988667097088","20220106","none","neutral"
"1478958115601190913","20220106","none","neutral"
"1478960669718245379","20220106","none","negative"
"1478963262578323458","20220106","none","neutral"
"1478963459018543104","20220106","none","neutral"
"1478961161877942273","20220106","",""
"1478965330831499266","20220106","none","neutral"
"1478965961520672772","20220106","none","neutral"
"1478966562203705347","20220106","none","neutral"
"1478964555237580810","20220106","",""
"1478967420421238787","20220106","none","neutral"
"1478968342190854146","20220106","none","neutral"
"1478969027980578818","20220106","none","neutral"
"1478970153844887553","20220106","none","neutral"
"1478970288171847681","20220106","none","neutral"
"1478971004688818176","20220106","none","neutral"
"1478972127046819842","20220106","none","neutral"
"1478972898123476995","20220106","none","neutral"
"1478973353834827776","20220106","none","neutral"
"1478974357049282563","20220106","none","neutral"
"1478974779113631744","20220106","none","negative"
"1478976207261560833","20220106","none","neutral"
"1478977391372345344","20220106","astrazeneca","positive"
"1478976415760408587","20220106","none","neutral"
"1478977892813991936","20220106","none","neutral"
"1478978246871904256","20220106","none","negative"
"1478978953486368770","20220106","none","negative"
"1478979549970849797","20220106","none","negative"
"1478979658955767808","20220106","none","neutral"
"1478981465467539456","20220106","none","neutral"
"1478983053305339915","20220106","none","neutral"
"1478983798607912966","20220106","none","neutral"
"1478984603876478979","20220106","none","neutral"
"1478984826023813123","20220106","none","neutral"
"1478985815585804288","20220106","none","positive"
"1478987259445583873","20220106","moderna","positive"
"1478987110455468032","20220106","none","neutral"
"1478988882276327425","20220106","none","neutral"
"1478992172439375872","20220106","novavax","negative"
"1478992222913581058","20220106","moderna","positive"
"1478994683812474885","20220106","none","neutral"
"1478995266913161218","20220106","moderna","positive"
"1478996057665130499","20220106","none","neutral"
"1478996347558662145","20220106","none","negative"
"1478994505638367233","20220106","",""
"1478999188318801920","20220106","none","negative"
"1478999516988665856","20220106","none","neutral"
"1478998540990955520","20220106","",""
"1478998775569940481","20220106","",""
"1478999517861072897","20220106","none","neutral"
"1478999581664768004","20220106","none","negative"
"1478999543752523778","20220106","none","positive"
"1478999974297817088","20220106","moderna","positive"
"1479000272093388803","20220106","novavax","negative"
"1479001061914738689","20220106","none","negative"
"1479001374868209665","20220106","none","negative"
"1479002308134330369","20220106","none","neutral"
"1479003104167165954","20220106","none","neutral"
"1479003828351471616","20220106","none","negative"
"1479001603571077126","20220106","",""
"1479004325753995264","20220106","none","neutral"
"1479005397159534592","20220106","pfizer","positive"
"1479006193406255106","20220106","none","negative"
"1479006754478309376","20220106","none","neutral"
"1479008870026514435","20220106","novavax","negative"
"1479010741545943040","20220106","none","neutral"
"1479011102729990146","20220106","none","negative"
"1479012351512772608","20220106","none","negative"
"1479014234025455618","20220106","none","neutral"
"1479013243410530304","20220106","",""
"1479015054133526530","20220106","moderna","positive"
"1479014494609174530","20220106","",""
"1479015167107080194","20220106","none","neutral"
"1479015200875446272","20220106","novavax","negative"
"1479015477665951747","20220106","none","neutral"
"1479015590480134148","20220106","none","neutral"
"1479016283484000262","20220106","none","neutral"
"1479017023447318536","20220106","none","neutral"
"1479019642735632385","20220106","none","neutral"
"1479020772492341248","20220106","none","neutral"
"1479021080522018816","20220106","none","negative"
"1479021459070619651","20220106","none","neutral"
"1479022982886395908","20220106","none","neutral"
"1479024391975419904","20220106","none","negative"
"1479022608578334722","20220106","pfizer","neutral"
"1479025857993740292","20220106","none","negative"
"1479026593389445121","20220106","none","negative"
"1479026952488947712","20220106","none","negative"
"1479027072186007554","20220106","none","neutral"
"1479025629781639168","20220106","",""
"1479027240096522241","20220106","none","neutral"
"1479027641353048066","20220106","none","neutral"
"1479032201844908032","20220106","none","neutral"
"1479030275631951873","20220106","",""
"1479033287142100992","20220106","none","neutral"
"1479030441336209408","20220106","",""
"1479034118646079489","20220106","none","neutral"
"1479034435789987840","20220106","none","neutral"
"1479038283476652033","20220106","none","neutral"
"1479038537827635202","20220106","none","negative"
"1479038855211008001","20220106","novavax","positive"
"1479040370352607239","20220106","novavax","negative"
"1479039198799622145","20220106","",""
"1479042418921984001","20220106","none","neutral"
"1479039611821178882","20220106","",""
"1479043883572948995","20220106","none","neutral"
"1479045845555113985","20220106","none","negative"
"1479049510399606788","20220106","none","negative"
"1479050624029261824","20220106","none","neutral"
"1479048038056300544","20220106","",""
"1479052778970312706","20220106","none","negative"
"1479052607230337027","20220106","none","neutral"
"1479055622490361861","20220106","none","negative"
"1479057704425443329","20220106","none","neutral"
"1479059499558133765","20220106","none","neutral"
"1479056552640221184","20220106","",""
"1479064372412485632","20220106","moderna","positive"
"1479065162434764800","20220106","none","neutral"
"1479063177094520835","20220106","",""
"1479066784464457729","20220106","none","neutral"
"1479066823119106048","20220106","none","neutral"
"1479066886948020225","20220106","none","neutral"
"1479073272981442561","20220106","none","neutral"
"1479074152816332804","20220106","none","neutral"
"1479075798782922752","20220106","moderna","negative"
"1479076836340428801","20220106","none","negative"
"1479078437834801153","20220106","none","neutral"
"1479079575699148803","20220106","none","neutral"
"1479079697292017665","20220106","none","negative"
