tot_non_indigenous_p, tot_tot_p, tot_indigenous_p, sa2_code_2021
78,126,0,"210051248"
6236,6576,41,"210051250"
7585,8099,81,"210051441"
11732,12309,89,"210051442"
20590,21673,145,"210051443"
21998,23374,182,"210051445"
12035,12589,131,"211011251"
16106,16601,89,"211011254"
6418,6594,39,"211011255"
15036,15418,93,"211011256"
7728,7905,24,"211011257"
10132,10375,32,"211011258"
13917,14341,65,"211011259"
17469,17942,66,"211011260"
22478,23560,215,"211011446"
13549,14145,140,"211011447"
14788,15334,103,"211011448"
4184,4345,42,"211011449"
15793,16275,59,"211021261"
9831,10112,43,"211021262"
11455,11871,79,"211031263"
17605,18059,129,"211031265"
18043,18715,103,"211031266"
20407,21132,147,"211031267"
9444,9654,39,"211031268"
15517,16109,110,"211031450"
13660,14139,80,"211031451"
4740,4898,41,"211031452"
10446,10780,33,"211041269"
16390,16795,67,"211041270"
11818,12413,45,"211041271"
10786,10993,35,"211041272"
11697,11954,19,"211041273"
9646,10005,50,"211051274"
11330,11779,91,"211051275"
13056,14065,373,"211051276"
9509,9916,124,"211051277"
18704,19599,260,"211051278"
5577,5816,29,"211051279"
6722,6943,44,"211051280"
22340,23146,204,"211051281"
9303,9706,80,"211051282"
9533,9799,101,"211051283"
9533,9777,40,"211051284"
7571,7902,77,"211051285"
15468,16799,220,"211051286"
17398,18633,141,"212011289"
22041,22963,95,"212021293"
10974,11889,113,"212021295"
10843,11472,40,"212021297"
7894,8241,37,"212021299"
11505,12086,79,"212021453"
12792,13360,37,"212021454"
12886,13504,93,"212021455"
13876,14758,124,"212021456"
19612,21281,233,"212031300"
16606,17400,179,"212031303"
20628,21535,171,"212031304"
17432,18027,39,"212031306"
7508,8024,110,"212031308"
12824,13152,49,"212031457"
16074,16713,121,"212031458"
11201,11554,22,"212041309"
12843,13381,34,"212041310"
21239,22526,153,"212041312"
10205,10499,31,"212041313"
7124,7456,35,"212041316"
21266,22248,45,"212041317"
12226,12621,29,"212041318"
11971,12739,81,"212041459"
18754,19591,48,"212041460"
18745,19507,81,"212051319"
21059,21603,25,"212051321"
20240,21036,46,"212051322"
15615,16073,27,"212051323"
18711,19265,44,"212051324"
19277,19889,55,"212051325"
22075,22928,86,"212051326"
19912,20652,35,"212051327"
6902,7502,48,"213011328"
9731,10038,16,"213011329"
7710,8077,30,"213011331"
12447,13082,70,"213011332"
13147,13983,72,"213011333"
18882,20581,68,"213011334"
15848,17454,77,"213011335"
8869,9445,57,"213011336"
11310,12047,47,"213011337"
17478,18558,97,"213011338"
11181,11726,73,"213011339"
16414,16910,63,"213011340"
12913,13556,79,"213021341"
17587,18479,130,"213021342"
14032,14931,103,"213021343"
18068,18753,120,"213021344"
4732,4952,36,"213021345"
15312,15912,110,"213021346"
17942,19068,141,"213031347"
15816,17131,124,"213031348"
12116,12573,60,"213031349"
8933,9247,63,"213031350"
11011,11735,121,"213031351"
14832,15463,130,"213031352"
23450,24717,379,"213041353"
19541,21208,376,"213041358"
16402,17553,391,"213041359"
18971,19539,54,"213041360"
5518,5800,27,"213041461"
6251,6377,9,"213041462"
19548,20365,99,"213041463"
17451,18446,164,"213051361"
17534,18772,179,"213051362"
10669,11459,82,"213051363"
15754,16810,176,"213051368"
18302,19274,119,"213051464"
18423,19091,89,"213051466"
17500,19010,299,"213051467"
20847,22341,383,"213051468"
20746,21976,349,"214011370"
21722,23586,319,"214011371"
17595,19453,375,"214011372"
18119,18801,136,"214011373"
23994,24939,232,"214011374"
16000,17215,252,"214011375"
